Molecule,Affinity1,Affinity2,Affinity3,Affinity4,Affinity5,Best Affinity
166259,-7.9,-9.3,-8.5,-7.2,-7.8,-9.3
37641,-8.7,-9.1,-6.8,-6.0,-6.3,-9.1
121868,-8.2,-9.1,-8.2,-7.3,-7.3,-9.1
727038,-9.1,-8.0,-7.7,-6.6,-7.0,-9.1
117987,-8.7,-8.4,-8.4,-6.8,-7.6,-8.7
70931,-8.6,-8.3,-7.7,-7.9,-6.9,-8.6
70799,-8.1,-7.8,-8.6,-7.5,-7.6,-8.6
39938,-7.3,-7.1,-8.6,-6.5,-6.2,-8.6
94600,-6.9,-7.7,-8.6,-6.8,-6.0,-8.6
16437,-8.5,-7.2,-8.2,-7.3,-7.8,-8.5
58724,-6.4,-6.4,-8.5,-5.9,-6.5,-8.5
321496,-7.7,-7.2,-8.5,-6.7,-6.7,-8.5
55862,-7.3,-7.0,-8.5,-5.9,-6.0,-8.5
128606,-8.5,-8.0,-8.0,-6.7,-6.5,-8.5
202386,-5.8,-8.3,-7.5,-6.0,-8.4,-8.4
116702,-7.4,-7.4,-8.4,-6.7,-6.8,-8.4
5836,-6.7,-7.1,-7.4,-5.9,-8.4,-8.4
408860,-7.1,-7.2,-8.4,-6.5,-7.2,-8.4
25457,-6.9,-6.8,-8.4,-6.3,-6.8,-8.4
603071,-7.5,-8.3,-8.4,-6.8,-6.4,-8.4
1014,-7.9,-7.5,-8.4,-6.3,-7.1,-8.4
194308,-5.9,-6.8,-8.3,-6.6,-6.5,-8.3
634396,-6.2,-6.3,-8.3,-5.8,-6.1,-8.3
7578,-8.3,-8.2,-8.2,-6.6,-7.4,-8.3
601359,-7.1,-7.8,-8.3,-6.7,-7.2,-8.3
127133,-8.3,-8.1,-8.1,-6.4,-7.1,-8.3
309874,-8.3,-8.0,-7.3,-6.2,-6.4,-8.3
204232,-7.9,-8.3,-7.5,-7.5,-6.9,-8.3
107701,-8.2,-7.5,-7.5,-6.2,-7.6,-8.2
292923,-7.5,-7.1,-8.2,-6.4,-6.7,-8.2
48617,-7.1,-7.7,-8.2,-6.3,-6.7,-8.2
65238,-7.4,-7.4,-8.2,-6.7,-7.2,-8.2
270916,-7.7,-7.6,-8.1,-6.4,-6.8,-8.1
150432,-6.3,-7.4,-8.1,-6.2,-7.7,-8.1
